dimension,value,requested_bootstrap_replicates,comparison,comparison_unit,metric,state_count,trajectory_count,observed_delta,observed_delta_raw,bootstrap_replicates,bootstrap_seed,ci_95_lower,ci_95_upper,ci_excludes_zero,informative,wins,ties,losses
scenario_state,provisional_override,10000,fm_minus_linear,trajectory,rank_percentile_improvement,959,382,-0.023962783232007828,-0.023962783232007828,1000,2026,-0.04160087763848247,-0.005884648457353892,True,True,106,683,170
scenario_state,provisional_override,10000,fm_minus_linear,trajectory,pairwise_accuracy_delta,959,174,-0.049303851813800724,-0.049303851813800724,1000,2026,-0.09457211581766056,-0.006812989877211596,True,True,106,110,170
turn_bucket,early,10000,fm_minus_linear,trajectory,mrr_delta,6624,2500,0.006320639572674396,0.006320639572674396,1000,2026,0.0011417259572103638,0.01099173922816535,True,True,2509,1918,2197
turn_bucket,early,10000,fm_minus_linear,trajectory,hit_at_1_delta,6624,2500,0.0038,0.0038,1000,2026,-0.0034666666666666656,0.010799999999999999,False,True,118,6395,111
turn_bucket,early,10000,fm_minus_linear,trajectory,hit_at_5_delta,6624,2500,0.008866666666666667,0.008866666666666667,1000,2026,0.0006633333333333336,0.017266666666666663,True,True,220,6235,169
turn_bucket,early,10000,fm_minus_linear,trajectory,hit_at_10_delta,4561,1908,0.019566736547868623,0.009133333333333334,1000,2026,0.005496593291404612,0.03284634870719776,True,True,251,4124,186
turn_bucket,early,10000,fm_minus_linear,trajectory,rank_improvement,6624,2500,2.2172666666666667,2.2172666666666667,1000,2026,0.1694283333333334,4.469863333333333,True,True,2509,1918,2197
turn_bucket,early,10000,fm_minus_linear,trajectory,rank_percentile_improvement,6624,2500,0.017313040841364567,0.017313040841364567,1000,2026,0.009278943186969589,0.02553627263298342,True,True,2509,1918,2197
turn_bucket,early,10000,fm_minus_linear,trajectory,pairwise_accuracy_delta,6624,2158,0.02343815823745564,0.02343815823745564,1000,2026,0.01240601762255321,0.033601926570048804,True,True,2509,519,2197
turn_bucket,late,10000,fm_minus_linear,trajectory,mrr_delta,678,224,0.007760157117142881,0.007760157117142881,1000,2026,-0.008271709055872399,0.023191950675056566,False,True,79,532,67
turn_bucket,late,10000,fm_minus_linear,trajectory,hit_at_1_delta,678,224,0.010044642857142858,0.010044642857142858,1000,2026,-0.016741071428571428,0.036830357142857144,False,True,24,642,12
turn_bucket,late,10000,fm_minus_linear,trajectory,hit_at_5_delta,678,224,0.00744047619047619,0.00744047619047619,1000,2026,-0.008928571428571428,0.025297619047619044,False,True,5,671,2
turn_bucket,late,10000,fm_minus_linear,trajectory,hit_at_10_delta,108,53,0.05660377358490566,0.011160714285714286,1000,2026,-0.03773584905660377,0.1509433962264151,False,True,8,97,3
turn_bucket,late,10000,fm_minus_linear,trajectory,rank_improvement,678,224,-1.5200892857142858,-1.5200892857142858,1000,2026,-3.2351283482142854,0.015355282738095291,False,True,79,532,67
turn_bucket,late,10000,fm_minus_linear,trajectory,rank_percentile_improvement,678,224,0.007242131536475255,0.007242131536475255,1000,2026,-0.019509295595650632,0.03259280106070039,False,True,79,532,67
turn_bucket,late,10000,fm_minus_linear,trajectory,pairwise_accuracy_delta,678,86,0.016414435023719753,0.016414435023719753,1000,2026,-0.052573129922391354,0.08849976370618716,False,True,79,63,67
turn_bucket,middle,10000,fm_minus_linear,trajectory,mrr_delta,2455,1355,0.0071572907737311176,0.0071572907737311176,1000,2026,-0.00017904646984822265,0.015320332789177903,False,True,598,1340,517
turn_bucket,middle,10000,fm_minus_linear,trajectory,hit_at_1_delta,2455,1355,0.006888068880688807,0.006888068880688807,1000,2026,-0.005169126691266914,0.019191266912669126,False,True,75,2326,54
turn_bucket,middle,10000,fm_minus_linear,trajectory,hit_at_5_delta,2455,1355,0.001968019680196802,0.001968019680196802,1000,2026,-0.007872078720787207,0.012063345633456327,False,True,73,2312,70
turn_bucket,middle,10000,fm_minus_linear,trajectory,hit_at_10_delta,966,605,0.019834710743801654,0.006273062730627306,1000,2026,-0.011570247933884297,0.05152203856749311,False,True,89,819,58
turn_bucket,middle,10000,fm_minus_linear,trajectory,rank_improvement,2455,1355,1.0678966789667896,1.0678966789667896,1000,2026,-0.2705289052890529,2.347475399753997,False,True,598,1340,517
turn_bucket,middle,10000,fm_minus_linear,trajectory,rank_percentile_improvement,2455,1355,0.017544408836264323,0.017544408836264323,1000,2026,0.007183311022299756,0.029303697729377846,True,True,598,1340,517
turn_bucket,middle,10000,fm_minus_linear,trajectory,pairwise_accuracy_delta,2455,834,0.0322549301486287,0.0322549301486287,1000,2026,0.013353442132091253,0.05309557807842232,True,True,598,266,517
survivor_width,11-50,10000,fm_minus_linear,trajectory,mrr_delta,1570,842,0.012273472469642261,0.012273472469642261,1000,2026,-0.00021660228796519147,0.025408788207842235,False,True,751,188,631
survivor_width,11-50,10000,fm_minus_linear,trajectory,hit_at_1_delta,1570,842,0.005548957508577462,0.005548957508577462,1000,2026,-0.010345902612826604,0.021628397994193714,False,True,46,1484,40
survivor_width,11-50,10000,fm_minus_linear,trajectory,hit_at_5_delta,1570,842,0.01431776194246503,0.01431776194246503,1000,2026,-0.013856723409870677,0.042876418580100266,False,True,164,1267,139
survivor_width,11-50,10000,fm_minus_linear,trajectory,hit_at_10_delta,1570,842,0.021646306978848548,0.021646306978848548,1000,2026,-0.007297180748784074,0.051324793575387384,False,True,190,1229,151
survivor_width,11-50,10000,fm_minus_linear,trajectory,rank_improvement,1570,842,0.8096223089394111,0.8096223089394111,1000,2026,0.3577705081438752,1.2770823789729666,True,True,751,188,631
survivor_width,11-50,10000,fm_minus_linear,trajectory,rank_percentile_improvement,1570,842,0.028567465189723838,0.028567465189723838,1000,2026,0.01172368553355463,0.044999749990886295,True,True,751,188,631
survivor_width,11-50,10000,fm_minus_linear,trajectory,pairwise_accuracy_delta,1570,842,0.028567465189723838,0.028567465189723838,1000,2026,0.012682602892469575,0.04503315852274932,True,True,751,188,631
survivor_width,51-200,10000,fm_minus_linear,trajectory,mrr_delta,1817,820,0.009531593112855579,0.009531593112855579,1000,2026,0.002691723090450098,0.016884006691387586,True,True,936,59,822
survivor_width,51-200,10000,fm_minus_linear,trajectory,hit_at_1_delta,1817,820,0.004878048780487805,0.004878048780487805,1000,2026,-0.0024390243902439024,0.012804878048780487,False,True,14,1798,5
survivor_width,51-200,10000,fm_minus_linear,trajectory,hit_at_5_delta,1817,820,0.01840301974448316,0.01840301974448316,1000,2026,0.0007976190476190483,0.034460075493612075,True,True,67,1709,41
survivor_width,51-200,10000,fm_minus_linear,trajectory,hit_at_10_delta,1817,820,0.027650987224157954,0.027650987224157954,1000,2026,0.007921747967479674,0.050526785714285705,True,True,116,1631,70
survivor_width,51-200,10000,fm_minus_linear,trajectory,rank_improvement,1817,820,1.8115389082462254,1.8115389082462254,1000,2026,0.12694700929152153,3.369246588269454,True,True,936,59,822
survivor_width,51-200,10000,fm_minus_linear,trajectory,rank_percentile_improvement,1817,820,0.01954604963776761,0.01954604963776761,1000,2026,0.0037186363503687197,0.03470125849440042,True,True,936,59,822
survivor_width,51-200,10000,fm_minus_linear,trajectory,pairwise_accuracy_delta,1817,820,0.019546049637767602,0.019546049637767602,1000,2026,0.004289642893908365,0.03425055662779793,True,True,936,59,822
survivor_width,<=10,10000,fm_minus_linear,trajectory,mrr_delta,4122,2346,0.007071188982839514,0.007071188982839514,1000,2026,0.0001231444671266244,0.014089702708780773,True,True,323,3527,272
survivor_width,<=10,10000,fm_minus_linear,trajectory,hit_at_1_delta,4122,2346,0.00895039175090326,0.00895039175090326,1000,2026,-0.0012886676409694306,0.019666199813258636,False,True,153,3842,127
survivor_width,<=10,10000,fm_minus_linear,trajectory,hit_at_5_delta,4122,2346,0.005064344578411074,0.005064344578411074,1000,2026,-0.0015055599534499785,0.012275961109081312,False,True,51,4027,44
survivor_width,<=10,10000,fm_minus_linear,trajectory,hit_at_10_delta,0,0,,0.0,1000,2026,,,,False,0,0,0
survivor_width,<=10,10000,fm_minus_linear,trajectory,rank_improvement,4122,2346,0.047193297608898635,0.047193297608898635,1000,2026,0.01473823224942151,0.07947746248257756,True,True,323,3527,272
survivor_width,<=10,10000,fm_minus_linear,trajectory,rank_percentile_improvement,4122,2346,0.011642859639830166,0.011642859639830166,1000,2026,0.0016929734353483754,0.02098081447756236,True,True,323,3527,272
survivor_width,<=10,10000,fm_minus_linear,trajectory,pairwise_accuracy_delta,4122,901,0.02741556266112315,0.02741556266112315,1000,2026,0.0024326998881313523,0.054083598324025615,True,True,323,585,272
survivor_width,>200,10000,fm_minus_linear,trajectory,mrr_delta,2248,856,0.0006099489331409514,0.0006099489331409514,1000,2026,-0.0035339369015877616,0.0039402712715050385,False,True,1176,16,1056
survivor_width,>200,10000,fm_minus_linear,trajectory,hit_at_1_delta,2248,856,-0.0011682242990654205,-0.0011682242990654205,1000,2026,-0.005549065420560747,0.002628504672897196,False,True,4,2239,5
survivor_width,>200,10000,fm_minus_linear,trajectory,hit_at_5_delta,2248,856,-0.002253004005340454,-0.002253004005340454,1000,2026,-0.010514018691588784,0.004839786381842456,False,True,16,2215,17
survivor_width,>200,10000,fm_minus_linear,trajectory,hit_at_10_delta,2248,856,0.005799399198931909,0.005799399198931909,1000,2026,-0.004951393524699598,0.016414246773475746,False,True,42,2180,26
survivor_width,>200,10000,fm_minus_linear,trajectory,rank_improvement,2248,856,8.496887516688918,8.496887516688918,1000,2026,0.24033419559412503,16.061126919225632,True,True,1176,16,1056
survivor_width,>200,10000,fm_minus_linear,trajectory,rank_percentile_improvement,2248,856,0.02110564903535915,0.02110564903535915,1000,2026,0.00758254103879741,0.034433117678988434,True,True,1176,16,1056
survivor_width,>200,10000,fm_minus_linear,trajectory,pairwise_accuracy_delta,2248,856,0.02110564903535915,0.02110564903535915,1000,2026,0.006863195166121001,0.03477889992854927,True,True,1176,16,1056
other_answer,with_other,10000,fm_minus_linear,trajectory,mrr_delta,759,568,0.0021063628032121856,0.0021063628032121856,1000,2026,-0.009297943828212384,0.012678636524666033,False,True,86,565,108
other_answer,with_other,10000,fm_minus_linear,trajectory,hit_at_1_delta,759,568,0.007042253521126761,0.007042253521126761,1000,2026,-0.008802816901408451,0.022931338028168977,False,True,19,722,18
other_answer,with_other,10000,fm_minus_linear,trajectory,hit_at_5_delta,759,568,0.0017605633802816902,0.0017605633802816902,1000,2026,-0.01232394366197183,0.017605633802816902,False,True,14,728,17
other_answer,with_other,10000,fm_minus_linear,trajectory,hit_at_10_delta,134,102,-0.06862745098039216,-0.01232394366197183,1000,2026,-0.12745098039215685,-0.00980392156862745,True,True,2,117,15
other_answer,with_other,10000,fm_minus_linear,trajectory,rank_improvement,759,568,0.3516725352112676,0.3516725352112676,1000,2026,-0.8944322183098592,1.8940580985915494,False,True,86,565,108
other_answer,with_other,10000,fm_minus_linear,trajectory,rank_percentile_improvement,759,568,0.007974432471414635,0.007974432471414635,1000,2026,-0.007786180079027966,0.026160257533257892,False,True,86,565,108
other_answer,with_other,10000,fm_minus_linear,trajectory,pairwise_accuracy_delta,759,225,0.020131011750060053,0.020131011750060053,1000,2026,-0.02184101247572602,0.06311872176005169,False,True,86,109,108
other_answer,without_other,10000,fm_minus_linear,trajectory,mrr_delta,8998,2500,0.008318836107305886,0.008318836107305886,1000,2026,0.0025971097649751893,0.013382972056344745,True,True,3100,3225,2673
other_answer,without_other,10000,fm_minus_linear,trajectory,hit_at_1_delta,8998,2500,0.00551031746031746,0.00551031746031746,1000,2026,-0.001876757936507936,0.012784428571428566,False,True,198,8641,159
other_answer,without_other,10000,fm_minus_linear,trajectory,hit_at_5_delta,8998,2500,0.009815396825396824,0.009815396825396824,1000,2026,0.0015268531746031743,0.01812202777777777,True,True,284,8490,224
other_answer,without_other,10000,fm_minus_linear,trajectory,hit_at_10_delta,5501,1983,0.02367344651762201,0.012543650793650794,1000,2026,0.009899082678961649,0.036741128961249994,True,True,346,4923,232
